state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,avg_days_with_aqi,avg_good_days,avg_moderate_days,avg_unhealthy_for_sensitive_groups_days,avg_unhealthy_days,avg_very_unhealthy_days,avg_hazardous_days,avg_days_co,avg_days_no2,avg_days_ozone,avg_days_pm2_5,avg_days_pm10,year
Wyoming,90.72222222222223,52.27777777777778,33.166666666666664,276,217.38888888888889,57.833333333333336,0.7777777777777778,0,0,0,0.2222222222222222,3.888888888888889,163.44444444444446,41.611111111111114,66.83333333333333,12
Alabama,111.89473684210526,71.15789473684211,46.8421052631579,248.52631578947367,147.3684210526316,96.84210526315789,3.9473684210526314,0.3684210526315789,0,0,0.05263157894736842,0,147.10526315789474,96.84210526315789,4.526315789473684,13
Alaska,101.5,48.125,27.25,274.5,218,52.125,3.625,0.625,0.125,0,1.375,0,68.25,191.375,13.5,13
Arizona,328.15384615384613,81.15384615384616,46.53846153846154,320.61538461538464,179.76923076923077,120.46153846153847,16.076923076923077,2.076923076923077,1,1.2307692307692308,0,1.4615384615384615,169.07692307692307,40.69230769230769,109.38461538461539,13
Arkansas,99.47058823529412,66.70588235294117,49,202.23529411764707,110.23529411764706,88.76470588235294,3.1176470588235294,0.11764705882352941,0,0,0,2.764705882352941,101.6470588235294,97.82352941176471,0,13
California,506.64814814814815,89.9074074074074,53.31481481481482,345.74074074074076,154.3148148148148,159.33333333333334,24.333333333333332,7.018518518518518,0.37037037037037035,0.37037037037037035,0.2777777777777778,4.166666666666667,165.22222222222223,166.14814814814815,9.925925925925926,13
Colorado,130.4375,67.28125,39.6875,285.15625,184.9375,90.9375,8.8125,0.40625,0.03125,0.03125,0.4375,7.15625,187.75,26.65625,63.15625,13
Connecticut,164,66.875,41.5,281.375,202.75,70.25,5.875,2.5,0,0,7.5,17.75,176.375,79.75,0,13
Country Of Mexico,364,98,46,362.5,220,106.5,25.5,6,2.5,2,52,48.5,204,0,58,13
Delaware,177,76,46.333333333333336,365,216.33333333333334,135.66666666666666,10.666666666666666,2.3333333333333335,0,0,0,0,241.33333333333334,123.66666666666667,0,13
District Of Columbia,166,84,59,365,72,277,13,3,0,0,0,12,81,272,0,13
