REPORTING_YEAR,CHEM_NAME~,CARCINOGEN,CLEAN_AIR,LIST_3350,PBT_IND,PFAS_IND,STATE_ABBR
2007,164,Y,N,Y,Y,N,AL
2007,1,Y,Y,N,Y,N,AS
2008,337,N,Y,Y,Y,N,AL
2008,294,N,Y,Y,N,N,AL
2008,29,N,Y,N,Y,N,AL
2008,24,Y,N,N,N,N,AL
2009,361,N,N,N,N,N,AZ
2009,107,N,Y,Y,N,N,AZ
2009,18,Y,Y,N,Y,N,AK
2010,266,N,Y,Y,N,N,AL
2010,117,N,Y,Y,N,N,AR
2010,160,Y,N,Y,Y,N,AL
2010,159,Y,Y,N,Y,N,AL
2010,22,Y,N,N,N,N,AL
2011,397,Y,Y,N,N,N,AL
2011,355,N,N,N,N,N,AZ
2011,72,Y,N,Y,Y,N,AZ
2011,138,Y,Y,Y,N,N,AR
2012,109,N,N,N,N,N,AK
2012,395,Y,Y,N,N,N,AL
2012,276,N,Y,Y,N,N,AL
2012,24,N,Y,N,Y,N,AR
2012,7,Y,N,N,N,N,AZ
2012,1,Y,Y,N,Y,N,AS
2013,272,Y,Y,N,N,N,AR
2013,117,Y,Y,N,N,N,AZ
2013,95,Y,N,Y,Y,N,AR
2013,75,N,Y,N,N,N,AK
2013,8,N,Y,N,Y,N,AZ
2013,6,N,Y,N,Y,N,AK
2014,732,N,N,N,N,N,AR
2014,110,N,Y,Y,N,N,AZ
2014,78,N,Y,Y,Y,N,AK
2014,1,Y,Y,N,Y,N,AS
2015,546,N,Y,N,N,N,AR
2015,140,Y,Y,Y,N,N,AR
2015,30,N,Y,N,Y,N,AR
2015,32,N,Y,N,Y,N,AL
2016,784,N,N,N,N,N,AR
2016,845,N,Y,N,N,N,AL
2016,28,Y,N,N,N,N,AR
2016,18,Y,Y,N,Y,N,AK
2016,3,Y,N,N,N,N,AZ
2016,1,Y,Y,N,Y,N,AS
2017,601,N,Y,N,N,N,AR
2017,361,N,N,N,N,N,AZ
2017,130,N,N,N,N,N,AK
2017,11,N,Y,N,Y,N,AZ
2017,9,N,Y,N,Y,N,AK
2018,132,Y,Y,N,N,N,AZ
2018,176,Y,Y,Y,N,N,AR
2018,292,N,Y,Y,N,N,AL
2018,34,N,Y,N,Y,N,AL
2018,267,Y,Y,Y,N,N,AL
2018,290,Y,Y,N,N,N,AR
2018,114,N,Y,N,N,N,AK
2018,41,Y,Y,N,Y,N,AZ
2018,31,Y,N,N,N,N,AL
2019,294,N,Y,Y,Y,N,AL
2019,261,Y,Y,Y,N,N,AL
2019,88,Y,Y,Y,N,N,AZ
2019,287,Y,Y,N,N,N,AR
2019,91,Y,N,Y,Y,N,AR
2019,43,Y,Y,N,Y,N,AZ
2020,31,Y,N,N,N,N,AR
2020,27,Y,N,N,N,N,AL
2020,1,Y,Y,N,Y,N,AS
2020,1,N,N,N,N,N,AS
2021,563,N,Y,N,N,N,AR
2021,111,Y,Y,N,N,N,AZ
2021,426,Y,Y,N,N,N,AL
2021,831,N,Y,N,N,N,AL
2021,103,N,Y,Y,N,N,AZ
2021,105,N,Y,Y,Y,N,AK
2021,49,Y,Y,Y,N,N,AK
2022,127,Y,Y,N,Y,N,AL
2022,578,N,Y,N,N,N,AR
2022,332,N,N,N,N,N,AZ
2022,70,Y,Y,Y,N,N,AZ
2022,25,Y,N,N,N,N,AL
2022,14,N,N,N,Y,N,AR
2023,121,N,Y,Y,Y,N,AK
2023,117,N,Y,N,N,N,AK
2023,122,Y,Y,N,Y,N,AL
2023,246,N,Y,Y,Y,N,AL
2023,12,N,Y,N,Y,N,AZ
1999,64,N,N,Y,N,N,AR
1999,73,N,Y,Y,Y,N,AL
1999,21,Y,Y,N,Y,N,AL
1999,16,Y,N,Y,Y,N,AR
2000,110,Y,Y,N,N,N,AZ
2000,298,Y,Y,Y,N,N,AL
2000,191,Y,Y,Y,N,N,AR
2000,37,Y,N,N,N,N,AL
2000,27,Y,N,Y,Y,N,AR
2000,78,N,Y,Y,Y,N,AR
2000,25,N,Y,N,Y,N,AR
2000,7,N,Y,N,Y,N,AZ
2000,1,N,N,N,Y,N,AL
2001,287,N,Y,N,N,N,AZ
2001,98,N,N,N,N,N,AK
2001,331,N,Y,Y,Y,N,AL
2001,81,N,Y,N,N,N,AK
2001,9,Y,N,N,N,N,AZ
2002,273,Y,Y,N,N,N,AR
2002,60,Y,N,Y,Y,N,AZ
2002,81,Y,N,Y,Y,N,AR
2003,447,Y,Y,N,N,N,AL
2003,268,Y,Y,N,N,N,AR
2003,35,Y,N,N,N,N,AL
2003,179,N,Y,Y,Y,N,AR
2003,109,N,Y,Y,N,N,AZ
2003,5,N,Y,N,Y,N,AK
2004,971,N,Y,N,N,N,AL
2004,144,N,Y,Y,Y,N,AZ
2004,24,N,Y,N,Y,N,AZ
2004,20,N,Y,N,Y,N,AR
2004,36,Y,Y,Y,N,N,AK
2004,51,Y,Y,N,N,N,AK
2005,943,N,Y,N,N,N,AL
2005,1,Y,Y,N,Y,N,AS
2005,175,Y,Y,N,Y,N,AL
2005,136,N,Y,Y,N,N,AR
2005,86,Y,Y,Y,N,N,AZ
2006,467,Y,Y,N,N,N,AL
2006,140,N,Y,Y,N,N,AR
2006,157,Y,Y,Y,N,N,AR
2006,161,Y,Y,N,Y,N,AL
2006,2,N,N,N,Y,N,AL
2006,97,N,N,N,N,N,AK
2007,126,Y,Y,N,N,N,AZ
2007,581,N,Y,N,N,N,AR
2007,146,Y,Y,Y,N,N,AR
2007,280,Y,Y,N,N,N,AR
2007,134,N,Y,Y,N,N,AR
2007,66,N,Y,Y,Y,N,AK
2007,102,N,N,N,N,N,AK
2007,4,N,N,N,Y,N,AR
2008,173,N,Y,Y,Y,N,AZ
2008,134,N,Y,Y,N,N,AR
2008,19,Y,Y,N,Y,N,AK
2009,225,N,Y,N,N,N,AZ
2009,448,Y,Y,N,N,N,AL
2009,323,N,Y,Y,Y,N,AL
2009,169,N,Y,Y,Y,N,AR
2009,90,Y,N,Y,Y,N,AR
2010,361,N,N,N,N,N,AZ
2010,110,N,Y,Y,N,N,AZ
2010,177,N,Y,Y,Y,N,AR
2010,48,Y,Y,N,Y,N,AZ
2010,77,N,Y,Y,Y,N,AK
2010,2,N,N,N,Y,N,AL
2010,13,N,Y,N,Y,N,AZ
2010,55,Y,Y,N,N,N,AK
2011,108,N,Y,Y,N,N,AZ
2011,4,N,Y,N,Y,N,AZ
2011,7,N,Y,N,Y,N,AK
2012,141,Y,Y,Y,N,N,AR
2012,110,N,Y,Y,N,N,AR
2012,1,N,N,N,Y,N,AL
2012,75,N,Y,N,N,N,AK
2012,12,Y,N,Y,Y,N,AK
2012,1,Y,Y,N,N,N,AS
2012,1,N,Y,N,N,N,AS
2013,983,N,N,N,N,N,AL
2013,548,N,Y,N,N,N,AR
2013,239,N,Y,N,N,N,AZ
2013,362,N,N,N,N,N,AZ
2013,331,N,Y,Y,Y,N,AL
2013,166,Y,Y,N,Y,N,AL
2013,1,Y,Y,N,Y,N,AS
2014,35,Y,Y,N,Y,N,AZ
2014,6,Y,N,N,N,N,AZ
2014,2,N,N,N,N,N,AS
2015,864,N,Y,N,N,N,AL
2015,416,Y,Y,N,N,N,AL
2015,195,N,Y,Y,Y,N,AR
2015,159,Y,Y,N,Y,N,AL
2015,114,N,Y,Y,N,N,AR
2015,20,Y,Y,N,Y,N,AK
2015,147,N,N,N,N,N,AK
2016,31,Y,Y,N,Y,N,AZ
2016,97,N,Y,N,N,N,AK
2016,30,N,Y,N,Y,N,AL
2016,33,N,Y,N,Y,N,AR
2016,76,Y,Y,N,Y,N,AR
2016,53,N,Y,Y,N,N,AK
2016,2,N,N,N,Y,N,AR
2017,137,Y,Y,N,N,N,AZ
2017,120,N,Y,Y,N,N,AR
2017,147,N,Y,Y,Y,N,AZ
2017,108,N,Y,Y,N,N,AZ
2017,78,Y,Y,N,N,N,AK
2018,830,N,N,N,N,N,AR
2018,584,N,Y,N,N,N,AR
2018,200,N,Y,Y,Y,N,AR
2018,163,Y,N,Y,Y,N,AL
2018,99,Y,Y,Y,N,N,AZ
2018,13,N,Y,N,Y,N,AZ
2018,56,N,Y,Y,N,N,AK
2018,2,N,N,N,N,N,AS
2019,815,N,N,N,N,N,AR
2019,576,N,Y,N,N,N,AR
2019,204,N,Y,Y,Y,N,AR
2019,6,N,N,N,Y,N,AR
2020,169,Y,N,Y,Y,N,AL
2020,110,N,Y,Y,Y,N,AK
2020,6,N,N,N,Y,N,AR
2021,56,Y,N,Y,Y,N,AZ
2021,74,Y,Y,Y,N,N,AZ
2021,45,Y,Y,N,Y,N,AZ
2021,6,Y,N,N,N,N,AZ
2022,827,N,N,N,N,N,AR
2022,416,Y,Y,N,N,N,AL
2022,250,N,Y,Y,Y,N,AL
2022,81,Y,Y,N,Y,N,AR
2022,1,Y,N,N,N,Y,AR
2022,1,Y,N,N,N,Y,AL
2023,145,N,N,N,N,N,AK
2023,110,Y,Y,N,N,N,AZ
2023,156,N,Y,Y,Y,N,AZ
2023,188,Y,N,Y,Y,N,AL
2023,30,Y,Y,N,Y,N,AK
2023,45,Y,Y,Y,N,N,AK
2023,18,N,Y,N,Y,N,AK
2023,1,Y,N,N,N,Y,AR
1999,133,Y,Y,N,N,N,AZ
1999,719,N,N,N,N,N,AR
1999,5,N,Y,N,N,N,AS
1999,48,Y,Y,Y,N,N,AK
2000,442,N,N,N,N,N,AZ
