state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,year,avg_max_aqi_2020,avg_x90th_percentile_aqi_2020,avg_median_aqi_2020
Michigan,132.3448275862069,71.72413793103448,39.89655172413793,2004,NA,NA,NA
Minnesota,107.83333333333333,62.5,40.5,2004,NA,NA,NA
Mississippi,118.7,74.25,49.6,2004,NA,NA,NA
Missouri,110.86363636363636,69.95454545454545,46.5,2004,NA,NA,NA
Montana,100.85,42.8,19.1,2004,NA,NA,NA
Nebraska,88.25,55.75,34.916666666666664,2004,NA,NA,NA
Nevada,112.625,60.125,35.375,2004,NA,NA,NA
New Hampshire,160.75,63.375,38.75,2004,NA,NA,NA
New Jersey,152.94117647058823,76.11764705882354,39.94117647058823,2004,NA,NA,NA
New Mexico,137,50.5,30.25,2004,NA,NA,NA
New York,138.7058823529412,62.3235294117647,35.794117647058826,2004,NA,NA,NA
North Carolina,122.16,77.62,48.46,2004,NA,NA,NA
North Dakota,64.55555555555556,42.44444444444444,29.444444444444443,2004,NA,NA,NA
Ohio,127.22727272727273,74.93181818181819,42.97727272727273,2004,NA,NA,NA
Oklahoma,116.96,66.16,40.84,2004,NA,NA,NA
Oregon,124.05555555555556,68.55555555555556,35.22222222222222,2004,NA,NA,NA
Pennsylvania,139.77777777777777,76.47222222222223,44.72222222222222,2004,NA,NA,NA
Puerto Rico,66.66666666666667,45.733333333333334,25,2004,NA,NA,NA
Rhode Island,190.66666666666666,77.66666666666667,44,2004,NA,NA,NA
South Carolina,129.8148148148148,74.18518518518519,44.666666666666664,2004,NA,NA,NA
South Dakota,87.5,55.125,36.375,2004,NA,NA,NA
Tennessee,122.89655172413794,71.79310344827586,44.89655172413793,2004,NA,NA,NA
Texas,153.55263157894737,76.78947368421052,39.86842105263158,2004,NA,NA,NA
Utah,118.16666666666667,66,36.416666666666664,2004,NA,NA,NA
Vermont,107.2,54.8,29.4,2004,NA,NA,NA
Virgin Islands,74,54,22.333333333333332,2004,NA,NA,NA
Virginia,118.21052631578948,62.76315789473684,36.6578947368421,2004,NA,NA,NA
Washington,115.85714285714286,62.07142857142857,38,2004,NA,NA,NA
West Virginia,123.38888888888889,70.61111111111111,45.5,2004,NA,NA,NA
Wisconsin,118.5,61.029411764705884,37.55882352941177,2004,NA,NA,NA
Wyoming,139.14285714285714,49.642857142857146,25.928571428571427,2004,NA,NA,NA
Alabama,122.83333333333333,75.625,46.916666666666664,2005,NA,NA,NA
Alaska,92.77777777777777,43,19.666666666666668,2005,NA,NA,NA
Arizona,132.5,80.92857142857143,44,2005,NA,NA,NA
Arkansas,127.26666666666667,84.2,54.733333333333334,2005,NA,NA,NA
California,266.49056603773585,91.69811320754717,48.113207547169814,2005,NA,NA,NA
Canada,77.5,41.5,20.5,2005,NA,NA,NA
Colorado,100.53571428571429,56.892857142857146,31.75,2005,NA,NA,NA
Connecticut,194.75,91.625,44.625,2005,NA,NA,NA
Country Of Mexico,248,111.66666666666667,66,2005,NA,NA,NA
Delaware,186.66666666666666,99.66666666666667,55.333333333333336,2005,NA,NA,NA
District Of Columbia,169,97,62,2005,NA,NA,NA
