Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2013,Malignant neoplasms (C00-C97),Cancer,Kansas,5379,163.1
2013,Malignant neoplasms (C00-C97),Cancer,Kentucky,10085,199.3
2013,Malignant neoplasms (C00-C97),Cancer,Louisiana,9419,188.5
2013,Malignant neoplasms (C00-C97),Cancer,Maine,3227,175.2
2013,Malignant neoplasms (C00-C97),Cancer,Maryland,10609,162.9
2013,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12858,159.6
2013,Malignant neoplasms (C00-C97),Cancer,Michigan,20367,170.5
2013,Malignant neoplasms (C00-C97),Cancer,Minnesota,9601,155.4
2013,Malignant neoplasms (C00-C97),Cancer,Mississippi,6527,197
2013,Malignant neoplasms (C00-C97),Cancer,Missouri,12955,179.4
2013,Malignant neoplasms (C00-C97),Cancer,Montana,1997,154.1
2013,Malignant neoplasms (C00-C97),Cancer,Nebraska,3459,161.3
2013,Malignant neoplasms (C00-C97),Cancer,Nevada,4817,164.8
2013,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2584,158
2013,Malignant neoplasms (C00-C97),Cancer,New Jersey,16315,156.2
2013,Malignant neoplasms (C00-C97),Cancer,New Mexico,3482,145.4
2013,Malignant neoplasms (C00-C97),Cancer,New York,35738,155.9
2013,Malignant neoplasms (C00-C97),Cancer,North Carolina,18589,167.6
2013,Malignant neoplasms (C00-C97),Cancer,North Dakota,1286,151.8
2013,Malignant neoplasms (C00-C97),Cancer,Ohio,24986,177.6
2013,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8039,185.7
2013,Malignant neoplasms (C00-C97),Cancer,Oregon,7799,163.4
2013,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28512,170.6
2013,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2326,174.6
2013,Malignant neoplasms (C00-C97),Cancer,South Carolina,9745,174
2013,Malignant neoplasms (C00-C97),Cancer,South Dakota,1577,154.5
2013,Malignant neoplasms (C00-C97),Cancer,Tennessee,13953,185.5
2013,Malignant neoplasms (C00-C97),Cancer,Texas,38412,156.9
2013,Malignant neoplasms (C00-C97),Cancer,United States,584881,163.2
2013,Malignant neoplasms (C00-C97),Cancer,Utah,2971,127.6
2013,Malignant neoplasms (C00-C97),Cancer,Vermont,1318,163.4
2013,Malignant neoplasms (C00-C97),Cancer,Virginia,14414,162
2013,Malignant neoplasms (C00-C97),Cancer,Washington,11928,156.1
2013,Malignant neoplasms (C00-C97),Cancer,West Virginia,4718,190.8
2013,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11425,165.2
2013,Malignant neoplasms (C00-C97),Cancer,Wyoming,946,148.2
2012,Malignant neoplasms (C00-C97),Cancer,Alabama,10276,185.2
2012,Malignant neoplasms (C00-C97),Cancer,Alaska,925,166.5
2012,Malignant neoplasms (C00-C97),Cancer,Arizona,11085,148.6
2012,Malignant neoplasms (C00-C97),Cancer,Arkansas,6540,189.1
2012,Malignant neoplasms (C00-C97),Cancer,California,57676,150.9
2012,Malignant neoplasms (C00-C97),Cancer,Colorado,7306,143.1
2012,Malignant neoplasms (C00-C97),Cancer,Connecticut,6681,152
2012,Malignant neoplasms (C00-C97),Cancer,Delaware,1935,177
2012,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1081,178.8
2012,Malignant neoplasms (C00-C97),Cancer,Florida,42188,158.8
2012,Malignant neoplasms (C00-C97),Cancer,Georgia,16021,169.1
2012,Malignant neoplasms (C00-C97),Cancer,Hawaii,2284,134.5
2012,Malignant neoplasms (C00-C97),Cancer,Idaho,2572,152
2012,Malignant neoplasms (C00-C97),Cancer,Illinois,24562,175.6
2012,Malignant neoplasms (C00-C97),Cancer,Indiana,13368,184.4
2012,Malignant neoplasms (C00-C97),Cancer,Iowa,6438,168.6
2012,Malignant neoplasms (C00-C97),Cancer,Kansas,5429,168.2
2012,Malignant neoplasms (C00-C97),Cancer,Kentucky,10012,201.5
2012,Malignant neoplasms (C00-C97),Cancer,Louisiana,9308,190.7
2012,Malignant neoplasms (C00-C97),Cancer,Maine,3226,179.3
2012,Malignant neoplasms (C00-C97),Cancer,Maryland,10525,165.6
2012,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12864,163.3
2012,Malignant neoplasms (C00-C97),Cancer,Michigan,20496,174.8
2012,Malignant neoplasms (C00-C97),Cancer,Minnesota,9424,155.9
2012,Malignant neoplasms (C00-C97),Cancer,Mississippi,6499,200.4
2012,Malignant neoplasms (C00-C97),Cancer,Missouri,12919,182.3
2012,Malignant neoplasms (C00-C97),Cancer,Montana,1954,155.1
2012,Malignant neoplasms (C00-C97),Cancer,Nebraska,3479,164.7
2012,Malignant neoplasms (C00-C97),Cancer,Nevada,4610,163.6
2012,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2660,167.8
2012,Malignant neoplasms (C00-C97),Cancer,New Jersey,16485,160.3
2012,Malignant neoplasms (C00-C97),Cancer,New Mexico,3462,148.1
2012,Malignant neoplasms (C00-C97),Cancer,New York,35882,159.4
2012,Malignant neoplasms (C00-C97),Cancer,North Carolina,18405,170.2
2012,Malignant neoplasms (C00-C97),Cancer,North Dakota,1253,150.7
2012,Malignant neoplasms (C00-C97),Cancer,Ohio,25261,182.7
2012,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8040,189.9
2012,Malignant neoplasms (C00-C97),Cancer,Oregon,7832,168
2012,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28909,175.5
2012,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2148,163.5
2012,Malignant neoplasms (C00-C97),Cancer,South Carolina,9728,178.8
2012,Malignant neoplasms (C00-C97),Cancer,South Dakota,1630,163
2012,Malignant neoplasms (C00-C97),Cancer,Tennessee,13765,187.6
2012,Malignant neoplasms (C00-C97),Cancer,Texas,38142,160.3
2012,Malignant neoplasms (C00-C97),Cancer,United States,582623,166.5
2012,Malignant neoplasms (C00-C97),Cancer,Utah,2876,128.2
2012,Malignant neoplasms (C00-C97),Cancer,Vermont,1325,165
2012,Malignant neoplasms (C00-C97),Cancer,Virginia,14294,165
2012,Malignant neoplasms (C00-C97),Cancer,Washington,11952,161.4
2012,Malignant neoplasms (C00-C97),Cancer,West Virginia,4684,191.8
2012,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11252,166.3
2012,Malignant neoplasms (C00-C97),Cancer,Wyoming,955,154.2
2011,Malignant neoplasms (C00-C97),Cancer,Alabama,10233,187.8
2011,Malignant neoplasms (C00-C97),Cancer,Alaska,935,175.5
2011,Malignant neoplasms (C00-C97),Cancer,Arizona,10690,148.5
2011,Malignant neoplasms (C00-C97),Cancer,Arkansas,6497,191.1
2011,Malignant neoplasms (C00-C97),Cancer,California,56449,152
2011,Malignant neoplasms (C00-C97),Cancer,Colorado,7051,143.9
2011,Malignant neoplasms (C00-C97),Cancer,Connecticut,6837,158.4
2011,Malignant neoplasms (C00-C97),Cancer,Delaware,1906,179.8
2011,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1070,180.7
2011,Malignant neoplasms (C00-C97),Cancer,Florida,41681,161.2
2011,Malignant neoplasms (C00-C97),Cancer,Georgia,15602,170.3
2011,Malignant neoplasms (C00-C97),Cancer,Hawaii,2278,138.1
2011,Malignant neoplasms (C00-C97),Cancer,Idaho,2573,157.4
2011,Malignant neoplasms (C00-C97),Cancer,Illinois,24007,175
2011,Malignant neoplasms (C00-C97),Cancer,Indiana,13180,185.4
2011,Malignant neoplasms (C00-C97),Cancer,Iowa,6481,173.1
2011,Malignant neoplasms (C00-C97),Cancer,Kansas,5440,170.3
2011,Malignant neoplasms (C00-C97),Cancer,Kentucky,9733,200.8
2011,Malignant neoplasms (C00-C97),Cancer,Louisiana,9233,193.7
2011,Malignant neoplasms (C00-C97),Cancer,Maine,3201,182.2
2011,Malignant neoplasms (C00-C97),Cancer,Maryland,10249,166.1
2011,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12895,166.9
2011,Malignant neoplasms (C00-C97),Cancer,Michigan,20420,177.8
2011,Malignant neoplasms (C00-C97),Cancer,Minnesota,9489,160.8
2011,Malignant neoplasms (C00-C97),Cancer,Mississippi,6278,197.4
2011,Malignant neoplasms (C00-C97),Cancer,Missouri,12473,179.4
2011,Malignant neoplasms (C00-C97),Cancer,Montana,2022,164.8
2011,Malignant neoplasms (C00-C97),Cancer,Nebraska,3410,164.1
2011,Malignant neoplasms (C00-C97),Cancer,Nevada,4606,170.2
2011,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2740,177.5
2011,Malignant neoplasms (C00-C97),Cancer,New Jersey,16708,166
2011,Malignant neoplasms (C00-C97),Cancer,New Mexico,3328,146.9
2011,Malignant neoplasms (C00-C97),Cancer,New York,35469,160.6
2011,Malignant neoplasms (C00-C97),Cancer,North Carolina,18284,175
2011,Malignant neoplasms (C00-C97),Cancer,North Dakota,1321,161
2011,Malignant neoplasms (C00-C97),Cancer,Ohio,25140,184.9
2011,Malignant neoplasms (C00-C97),Cancer,Oklahoma,7997,191.1
2011,Malignant neoplasms (C00-C97),Cancer,Oregon,7802,172.6
2011,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28895,178
2011,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2170,167.6
2011,Malignant neoplasms (C00-C97),Cancer,South Carolina,9543,182
2011,Malignant neoplasms (C00-C97),Cancer,South Dakota,1665,169.7
2011,Malignant neoplasms (C00-C97),Cancer,Tennessee,13562,189
2011,Malignant neoplasms (C00-C97),Cancer,Texas,37351,162.3
2011,Malignant neoplasms (C00-C97),Cancer,United States,576691,169
2011,Malignant neoplasms (C00-C97),Cancer,Utah,2746,125.7
2011,Malignant neoplasms (C00-C97),Cancer,Vermont,1347,175.9
2011,Malignant neoplasms (C00-C97),Cancer,Virginia,14376,170.8
2011,Malignant neoplasms (C00-C97),Cancer,Washington,12002,166.1
2011,Malignant neoplasms (C00-C97),Cancer,West Virginia,4782,200.1
2011,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11608,175.5
2011,Malignant neoplasms (C00-C97),Cancer,Wyoming,936,156
2010,Malignant neoplasms (C00-C97),Cancer,Alabama,10196,191.7
2010,Malignant neoplasms (C00-C97),Cancer,Alaska,884,176.9
2010,Malignant neoplasms (C00-C97),Cancer,Arizona,10678,154.2
2010,Malignant neoplasms (C00-C97),Cancer,Arkansas,6475,194.7
2010,Malignant neoplasms (C00-C97),Cancer,California,56453,156.9
2010,Malignant neoplasms (C00-C97),Cancer,Colorado,7035,149.5
2010,Malignant neoplasms (C00-C97),Cancer,Connecticut,6954,163.4
2010,Malignant neoplasms (C00-C97),Cancer,Delaware,1909,185.7
2010,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1041,178.3
2010,Malignant neoplasms (C00-C97),Cancer,Florida,41467,165.6
2010,Malignant neoplasms (C00-C97),Cancer,Georgia,15435,174.8
2010,Malignant neoplasms (C00-C97),Cancer,Hawaii,2266,140.9
2010,Malignant neoplasms (C00-C97),Cancer,Idaho,2530,159.9
2010,Malignant neoplasms (C00-C97),Cancer,Illinois,24070,178.6
2010,Malignant neoplasms (C00-C97),Cancer,Indiana,13164,188.6
2010,Malignant neoplasms (C00-C97),Cancer,Iowa,6358,171.9
2010,Malignant neoplasms (C00-C97),Cancer,Kansas,5377,171.3
2010,Malignant neoplasms (C00-C97),Cancer,Kentucky,9930,208.3
